2297,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Серова
2298,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Фоминское,Дом, д.1
2299,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.53
2300,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Нижнее Мячково,Дом, д.4
2301,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Верея,Дом, д.303а
2302,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Кирова
2303,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2304,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.71
2305,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Десантная
2306,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.27
2307,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2308,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Полевая
2309,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Совхозная
2310,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Ногина
2311,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2312,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Королева
2313,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Вохринка,Дом, д.73
2314,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ш. Северное
2315,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Тверская
2316,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Академика Иванова
2317,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.54
2318,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Опаринская
2319,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Полевая
2320,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Первомайская
2321,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, Зеленый городок
2322,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Рыболово,Дом, д.249
2323,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Мира
2324,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Кузнецово,Улица, ул. Центральная
2325,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Сафоновский
2326,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжельского Кирпичного Завода,Дом, д.16
2327,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Октябрьская
2328,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Октябрьская
2329,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Чапаева
2330,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.47
2331,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Рабочая
2332,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Октябрьская
2333,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Транспортный
2334,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Октябрьская
2335,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Кирова
2336,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.22
2337,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Б. Учительская
2338,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Жуковского
2339,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Октябрьская
2340,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжелка,Улица, ул. Центральная
2341,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжельского Кирпичного Завода,Дом, д.18
2342,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2343,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Толмачево,Дом, д.36
2344,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Левашова
2345,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Б. Учительская
2346,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2347,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Спортивный
2348,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжельского Кирпичного Завода,Дом, д.9
2349,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2350,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дубовая Роща,Улица, ул. Октябрьская
2351,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Фабричная
2352,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Первомайская
2353,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Подмосковная
2354,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Ногина
2355,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2356,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2357,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Кооперативная
2358,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дубовая Роща,Улица, ул. Спортивная
2359,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Софьино,Дом, д.15
2360,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Транспортный
2361,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Степановское,Дом, д.46
2362,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Аэропортовская
2363,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Бронницкая
2364,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.3
2365,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Чугунова
2366,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Кузяевского Фарфорового Завода,Дом, д.14
2367,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2368,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, Зеленый городок
2369,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2370,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Денежниково,Дом, д.5
2371,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Полевая
2372,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Молодежная
2373,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, пер. Садовый
2374,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Речицкий з-д
2375,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Кирова
2376,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Мира
2377,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Б. Учительская
2378,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2379,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Быково,Улица, ул. Шоссейная
2380,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Бронницкая
2381,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д.Новомайково,Дом, д.5
2382,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коминтерна
2383,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Подмосковная
2384,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дружба,Улица, ул. Первомайская
2385,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Молодежная
2386,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Чкалова
2387,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дубовая Роща,Улица, ул. Октябрьская
2388,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, Зеленый городок
2389,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2390,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Серова
2391,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.23
2392,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Рыболово,Дом, д.244
2393,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Карла Маркса
2394,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Шахова
2395,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Первомайская
2396,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Клишева,Улица, ул. Центральная
2397,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Нефтегазосъемка
2398,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Кузяевского Фарфорового Завода,Дом, д.4
2399,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Десантная
2400,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Гжель,Улица, ул. Центральная
2401,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Заворово,Дом, д.4
2402,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Транспортный
2403,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Крымская
2404,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Королева
2405,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2406,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Октябрьская
2407,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Строительная
2408,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Писарева
2409,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Игумново,Улица, ул. СПТУ-98
2410,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Михеево,Дом, д.97
2411,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.9
2412,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Школьная
2413,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Королева
2414,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Стальконструкции
2415,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Горячева
2416,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Подмосковная
2417,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Рабочая
2418,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2419,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Десантная
2420,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2421,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Пионерская
2422,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2423,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Островского
2424,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Стальконструкции
2425,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Горячева
2426,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Пионерская
2427,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Кирова
2428,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Грибоедова
2429,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Первомайская
2430,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Воловое,Дом, д.3
2431,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Леволинейная
2432,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Ульянино,Дом, д.2
2433,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжельского Кирпичного Завода,Дом, д.15
2434,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Гурьева
2435,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.8
2436,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Воровского
2437,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2438,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Речицы,Улица, ул. Речицкий з-д
2439,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Полевая
2440,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Стахановская
2441,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Рабочая
2442,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Лесная
2443,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Школьная
2444,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Приборостроителей
2445,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Нижнее Мячково,Дом, д.1
2446,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Аэропортовская
2447,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Фоминское,Дом, д.18
2448,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2449,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.5
2450,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Лесная
2451,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Литвиново,Улица, ул. Железнодорожная
2452,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Рабочая
2453,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Береговая
2454,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжельского Кирпичного Завода,Дом, д.7
2455,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Аэропортовская
2456,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Опытное поле,Дом, д.2
2457,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2458,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красная
2459,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Первомайская
2460,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.24
2461,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Бронницкая
2462,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Софьино,Дом, д.13
2463,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Аэропортовская
2464,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Октябрьская
2465,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дружба,Улица, ул. Ленина
2466,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Левашова
2467,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Речная
2468,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2469,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.36
2470,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.62
2471,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2472,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Мира
2473,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Фабричная
2474,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Михеево,Дом, д.153
2475,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Кирова
2476,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Школьная
2477,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Леволинейная
2478,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Молодежная
2479,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Серова
2480,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Рабочая
2481,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Советская
2482,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Родники,Улица, ул. Кооперативная
2483,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Щукина
2484,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Баулинская
2485,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Стальконструкции
2486,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Степановское,Дом, д.40
2487,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2488,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Подмосковная
2489,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2490,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Опытное поле,Дом, д.7
2491,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Октябрьская
2492,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2493,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.9
2494,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Ганусово,Дом, д.77
2495,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Маяковская
2496,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Рабочая
2497,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д.Чекменево,Дом, д.64
2498,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Фабричная
2499,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Дачная
2500,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Ильинский,Улица, ул. Московская
