Полный адрес,Сегмент 1,Значение ,Сегмент 2,Значение,Сегмент 2,Значение ,Сегмент 3,Значение,Сегмент 4,Значение,Сегмент 5,Значение
"Московская обл., Богородский МР, г. Ногинск, 1-ый Декабрьский пер.,  д.1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,1-ый Декабрьский пер.,Дом, д.1,,
"Московская обл., Богородский МР, г. Ногинск, 1-ый Декабрьский пер.,  д.4а",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,1-ый Декабрьский пер.,Дом, д.4а,,
"Московская обл., Богородский МР, г. Ногинск, 1-ый Декабрьский пер.,  д.9",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,1-ый Декабрьский пер.,Дом, д.9,,
"Московская обл., Богородский МР, г. Ногинск, 1-ый Декабрьский пер.,  д.11",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,1-ый Декабрьский пер.,Дом, д.11,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Заводская,  д.1",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Заводская,Дом, д.1,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Заводская,  д.3",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Заводская,Дом, д.3,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Заводская,  д.7",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Заводская,Дом, д.7,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Заводская,  д.9",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Заводская,Дом, д.9,,
"Московская обл., Богородский МР, г. Ногинск, 1-ый Истомкинский пр-д,  д.7",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Проезд,1-ый Истомкинский пр-д,Дом, д.7,,
"Московская обл., Богородский МР, г. Ногинск, 1-ый Истомкинский пр-д,  д.8",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Проезд,1-ый Истомкинский пр-д,Дом, д.8,,
"Московская обл., Богородский МР, г. Ногинск, 1-ый Истомкинский пр-д,  д.9",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Проезд,1-ый Истомкинский пр-д,Дом, д.9,,
"Московская обл., Богородский МР, г. Ногинск, 1-ый Истомкинский пр-д,  д.10",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Проезд,1-ый Истомкинский пр-д,Дом, д.10,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Молзинская,  д.2",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Молзинская,Дом, д.2,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Молзинская,  д.4",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Молзинская,Дом, д.4,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Молзинская,  д.6",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Молзинская,Дом, д.6,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Молзинская,  д.8",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Молзинская,Дом, д.8,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Молзинская,  д.10",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Молзинская,Дом, д.10,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Молзинская,  д.12",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Молзинская,Дом, д.12,,
"Московская обл., Богородский МР, г. Ногинск, ул. 1-я Ревсобраний,  д.6",Область,Московская обл.,МР/Г.О.,Богородский МР,Населенный пункт,г. Ногинск,Улица,ул. 1-я Ревсобраний,Дом, д.6,,
