id,guid,name,gzhi_guid
2,,Теплоцентраль ЖКХ АС,
3,389F7CA6-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""ЮИТ-СЕРВИС"" (Жук.)",389F7CA6-BB06-11E7-9583-B5CD11EEAB0E
6,357E84EA-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""ЖИЛКОМСЕРВИС""",357E84EA-BB06-11E7-9583-B5CD11EEAB0E
8,3C1B5D5A-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""УК ""Мира"" (Жук.)",3C1B5D5A-BB06-11E7-9583-B5CD11EEAB0E
9,357B4064-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Строитель»,357B4064-BB06-11E7-9583-B5CD11EEAB0E
10,356FB7A8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-1»,356FB7A8-BB06-11E7-9583-B5CD11EEAB0E
11,35702814-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-2»,35702814-BB06-11E7-9583-B5CD11EEAB0E
12,357090F6-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-3»,357090F6-BB06-11E7-9583-B5CD11EEAB0E
13,3570FB2C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-4»,3570FB2C-BB06-11E7-9583-B5CD11EEAB0E
14,35716684-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-5»,35716684-BB06-11E7-9583-B5CD11EEAB0E
15,3571D2F4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-6»,3571D2F4-BB06-11E7-9583-B5CD11EEAB0E
16,356329A2-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-1»,356329A2-BB06-11E7-9583-B5CD11EEAB0E
17,356556F0-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-2»,356556F0-BB06-11E7-9583-B5CD11EEAB0E
18,,ЖСК «Космос-3»,
19,3565C1E4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-4»,3565C1E4-BB06-11E7-9583-B5CD11EEAB0E
20,35671E68-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-5»,35671E68-BB06-11E7-9583-B5CD11EEAB0E
21,356800F8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-6»,356800F8-BB06-11E7-9583-B5CD11EEAB0E
22,3568DB54-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-7»,3568DB54-BB06-11E7-9583-B5CD11EEAB0E
23,356A5448-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-8»,356A5448-BB06-11E7-9583-B5CD11EEAB0E
24,356B3872-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-9»,356B3872-BB06-11E7-9583-B5CD11EEAB0E
25,3563A3DC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-10»,3563A3DC-BB06-11E7-9583-B5CD11EEAB0E
26,356412CC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-11А»,356412CC-BB06-11E7-9583-B5CD11EEAB0E
27,35647AC8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-12»,35647AC8-BB06-11E7-9583-B5CD11EEAB0E
28,3564ED46-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-12а»,3564ED46-BB06-11E7-9583-B5CD11EEAB0E
29,356CF6B2-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-1»,356CF6B2-BB06-11E7-9583-B5CD11EEAB0E
30,356D65E8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-2»,356D65E8-BB06-11E7-9583-B5CD11EEAB0E
31,356DE572-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-3»,356DE572-BB06-11E7-9583-B5CD11EEAB0E
32,356E66FA-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-4»,356E66FA-BB06-11E7-9583-B5CD11EEAB0E
33,356EDCE8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-5»,356EDCE8-BB06-11E7-9583-B5CD11EEAB0E
34,356F527C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-6»,356F527C-BB06-11E7-9583-B5CD11EEAB0E
35,35746A1E-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Спутник»,35746A1E-BB06-11E7-9583-B5CD11EEAB0E
36,3574E822-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Спутник-2»,3574E822-BB06-11E7-9583-B5CD11EEAB0E
37,35758DA4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Спутник-3»,35758DA4-BB06-11E7-9583-B5CD11EEAB0E
38,415BCB2E-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела»,415BCB2E-BB06-11E7-9583-B5CD11EEAB0E
39,357747A2-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-2»,357747A2-BB06-11E7-9583-B5CD11EEAB0E
40,3577DCD0-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-3»,3577DCD0-BB06-11E7-9583-B5CD11EEAB0E
41,35784ABC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-5»,35784ABC-BB06-11E7-9583-B5CD11EEAB0E
42,3B6E84FE-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-6»,3B6E84FE-BB06-11E7-9583-B5CD11EEAB0E
43,35792BE4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-7»,35792BE4-BB06-11E7-9583-B5CD11EEAB0E
44,357995FC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-8»,357995FC-BB06-11E7-9583-B5CD11EEAB0E
45,357AD368-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-9»,357AD368-BB06-11E7-9583-B5CD11EEAB0E
46,3576D948-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-10»,3576D948-BB06-11E7-9583-B5CD11EEAB0E
47,355DDD9E-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда»,355DDD9E-BB06-11E7-9583-B5CD11EEAB0E
48,355EC326-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда-2»,355EC326-BB06-11E7-9583-B5CD11EEAB0E
49,355F5138-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда-3»,355F5138-BB06-11E7-9583-B5CD11EEAB0E
50,356045DE-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда-4»,356045DE-BB06-11E7-9583-B5CD11EEAB0E
51,35612666-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда-5»,35612666-BB06-11E7-9583-B5CD11EEAB0E
52,3561AEE2-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Комета-1»,3561AEE2-BB06-11E7-9583-B5CD11EEAB0E
53,356234AC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Комета-2»,356234AC-BB06-11E7-9583-B5CD11EEAB0E
54,355ACF0A-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Дружба»,355ACF0A-BB06-11E7-9583-B5CD11EEAB0E
55,355C15D6-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Дружба-2»,355C15D6-BB06-11E7-9583-B5CD11EEAB0E
56,355C8764-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Дружба-3»,355C8764-BB06-11E7-9583-B5CD11EEAB0E
57,355CFA96-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Дружба-4»,355CFA96-BB06-11E7-9583-B5CD11EEAB0E
58,3572AF08-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Союз-1»,3572AF08-BB06-11E7-9583-B5CD11EEAB0E
59,41D4A09E-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Союз-2»,41D4A09E-BB06-11E7-9583-B5CD11EEAB0E
60,43A26212-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Союз-3»,43A26212-BB06-11E7-9583-B5CD11EEAB0E
61,3573F82C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Союз-4»,3573F82C-BB06-11E7-9583-B5CD11EEAB0E
62,35724DD8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Радар»,35724DD8-BB06-11E7-9583-B5CD11EEAB0E
63,356C1BAC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Кратово»,356C1BAC-BB06-11E7-9583-B5CD11EEAB0E
64,357BBEA4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Уют»,357BBEA4-BB06-11E7-9583-B5CD11EEAB0E
65,,ЖСК «Уют-2»,
66,357C4464-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Фортуна»,357C4464-BB06-11E7-9583-B5CD11EEAB0E
67,357CB4DA-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Фортуна-2»,357CB4DA-BB06-11E7-9583-B5CD11EEAB0E
68,355A668C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Горизонт»,355A668C-BB06-11E7-9583-B5CD11EEAB0E
69,357DB04C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Фортуна-3»,357DB04C-BB06-11E7-9583-B5CD11EEAB0E
70,358701C4-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Виктория»,358701C4-BB06-11E7-9583-B5CD11EEAB0E
71,358B1ED0-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «На Лесной»,358B1ED0-BB06-11E7-9583-B5CD11EEAB0E
72,3587EAF8-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Горельники-6»,3587EAF8-BB06-11E7-9583-B5CD11EEAB0E
73,358F7872-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Жуковского-9»,358F7872-BB06-11E7-9583-B5CD11EEAB0E
74,,ТСЖ «Атлант»,
75,3D39203C-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Жуковского 18»,3D39203C-BB06-11E7-9583-B5CD11EEAB0E
76,,ТСЖ «М-ЧС»,
77,3D81AC08-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Маяк»,3D81AC08-BB06-11E7-9583-B5CD11EEAB0E
78,358FE17C-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «ул.Люберецкая д.4»,358FE17C-BB06-11E7-9583-B5CD11EEAB0E
79,35896C5C-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Космос-11»,35896C5C-BB06-11E7-9583-B5CD11EEAB0E
80,358C8EB4-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Пилот»,358C8EB4-BB06-11E7-9583-B5CD11EEAB0E
81,,ТСЖ «Гарант»,
82,358C2546-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Надежда»,358C2546-BB06-11E7-9583-B5CD11EEAB0E
83,3590C146-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Чкалова-41»,3590C146-BB06-11E7-9583-B5CD11EEAB0E
84,358D07A4-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Серова 9»,358D07A4-BB06-11E7-9583-B5CD11EEAB0E
85,358855C4-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Горького-5»,358855C4-BB06-11E7-9583-B5CD11EEAB0E
86,,ТСЖ Мой дом,
87,,Я_Газовая служба ТЕСТ,
88,,Теплоцентраль ЖКХ ЖЭУ-1,
