id дома,Наименование адреса,УДАЛИТЬ!,Тип (дом/бизнес-центр),Наименование сегмента,GUID
74247,"Московская обл, Раменский г.о., п. Дубки, д.1",,МКД,"Раменский г.о., п. Дубки",
74233,"Московская обл, Раменский г.о., п. Дубки, д.5",,МКД,"Раменский г.о., п. Дубки",
74517,"Московская обл, Раменский г.о., п. Дубки. д 2",,МКД,"Раменский г.о., п. Дубки",
74518,"Московская обл, Раменский г.о., п. Дубки. д 3",,МКД,"Раменский г.о., п. Дубки",
74519,"Московская обл, Раменский г.о., п. Дубки. д 7",,МКД,"Раменский г.о., п. Дубки",
3881,"Московская обл., Раменский г.о., рп. Ильинский, ул. Чкалова, д.2к1",,МКД,"Раменский г.о., рп. Ильинский, ул. Чкалова",51E3D5D8-BA55-11E7-8E30-FE5F11EEAB0E
108467,"Московская обл., Раменский г.о., рп. Ильинский, ул. Чкалова, д.2к2",,МКД,"Раменский г.о., рп. Ильинский, ул. Чкалова",
3978,"Московская обл., Раменский г.о., г. Раменское, пер. 1-й Некрасовский, д.1",,МКД,"Раменский г.о., г. Раменское, пер. 1-й Некрасовский",
3590,"Московская обл., Раменский г.о., г. Раменское, пер. Южный, д.8а",,МКД,"Раменский г.о., г. Раменское, пер. Южный",14F2D382-BA54-11E7-8E30-FE5F11EEAB0E
2992,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.10",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",D215E0C4-BA51-11E7-BC29-FE5F11EEAB0E
2635,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.11",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",94E22E84-BA50-11E7-A949-FE5F11EEAB0E
3564,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.15",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",FBB43A78-BA53-11E7-8E30-FE5F11EEAB0E
3560,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.16",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",F8895B9E-BA53-11E7-8E30-FE5F11EEAB0E
2492,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.17",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",145FF070-BA55-11E7-8E30-FE5F11EEAB0E
2604,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.18",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",80D59426-BA50-11E7-98AD-FE5F11EEAB0E
2970,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.19",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",C59EC888-BA51-11E7-BC29-FE5F11EEAB0E
2853,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.20",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",69A9FE94-BA51-11E7-8567-FE5F11EEAB0E
3608,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.21",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",240D08C4-BA54-11E7-8E30-FE5F11EEAB0E
3688,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.22",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",7A0BDAE8-BA54-11E7-8E30-FE5F11EEAB0E
3367,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.23",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",4078C2BA-BA53-11E7-88DA-FE5F11EEAB0E
2356,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.24",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",9C78EBAC-BA54-11E7-8E30-FE5F11EEAB0E
3189,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.25",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",90C59BEA-BA52-11E7-BC29-FE5F11EEAB0E
3455,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.26",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",A4707056-BA53-11E7-8E30-FE5F11EEAB0E
3259,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.27",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",D2E9F9A8-BA52-11E7-B566-FE5F11EEAB0E
2981,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.28",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",CB41FC42-BA51-11E7-BC29-FE5F11EEAB0E
2912,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.29",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",99327966-BA51-11E7-A94D-FE5F11EEAB0E
3155,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.3",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",6D314D3C-BA52-11E7-BC29-FE5F11EEAB0E
3658,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.30",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",5C702CD2-BA54-11E7-8E30-FE5F11EEAB0E
3546,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.31",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",EC776396-BA53-11E7-8E30-FE5F11EEAB0E
2979,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.32",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",CA722E18-BA51-11E7-BC29-FE5F11EEAB0E
3026,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.34",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",EE7AE516-BA51-11E7-BC29-FE5F11EEAB0E
2694,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.35",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",D646C754-BA50-11E7-9DD4-FE5F11EEAB0E
3817,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.35 стр.б",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",AD2E922A-2CD0-11E6-9904-1CB95553488B
3752,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.35б",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",F75106D0-BA55-11E7-B286-FE5F11EEAB0E
3758,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.35в",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",F7888E98-BA55-11E7-B286-FE5F11EEAB0E
3537,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.36",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",E2B866C0-BA53-11E7-8E30-FE5F11EEAB0E
2502,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.39",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",1C6212C6-BA55-11E7-8E30-FE5F11EEAB0E
2355,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.4",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",9BAD4BD2-BA54-11E7-8E30-FE5F11EEAB0E
3034,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.40",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",F4C34DF0-BA51-11E7-BC29-FE5F11EEAB0E
3044,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.41",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",0060FC98-BA52-11E7-BC29-FE5F11EEAB0E
2925,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.43",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",A6163406-BA51-11E7-AB77-FE5F11EEAB0E
2977,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.43а",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",C98E010C-BA51-11E7-BC29-FE5F11EEAB0E
2378,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.44",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",ADD7A672-BA54-11E7-8E30-FE5F11EEAB0E
2631,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.45",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",939BBEBE-BA50-11E7-A949-FE5F11EEAB0E
2942,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.46",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",B45933A6-BA51-11E7-BC29-FE5F11EEAB0E
2666,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.47",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",AF41395A-BA50-11E7-88BA-FE5F11EEAB0E
3277,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.47а",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",DF8E134C-BA52-11E7-82E8-FE5F11EEAB0E
2528,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.48",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",362128BE-BA55-11E7-8E30-FE5F11EEAB0E
3427,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.49",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",847DA674-BA53-11E7-8E30-FE5F11EEAB0E
3486,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.5",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",BAC6B70C-BA53-11E7-8E30-FE5F11EEAB0E
2501,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.50",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",1C5CD518-BA55-11E7-8E30-FE5F11EEAB0E
3092,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.51",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",24107BFA-BA52-11E7-BC29-FE5F11EEAB0E
2804,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.52",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",36AE13FE-BA51-11E7-91E3-FE5F11EEAB0E
3568,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.6",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",FE623144-BA53-11E7-8E30-FE5F11EEAB0E
3238,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.7",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",C3EE6880-BA52-11E7-8BE2-FE5F11EEAB0E
3374,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.8",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",45EE79BA-BA53-11E7-93FE-FE5F11EEAB0E
2542,"Московская обл., Раменский г.о., г. Раменское, пос. Красный Октябрь, д.9",,МКД,"Раменский г.о., г. Раменское, пос. Красный Октябрь",3FA2DCDE-BA55-11E7-8E30-FE5F11EEAB0E
2940,"Московская обл., Раменский г.о., г. Раменское, пр-д. Деревообделочный, д.1",,МКД,"Раменский г.о., г. Раменское, пр-д. Деревообделочный",B2CBEA9C-BA51-11E7-BC29-FE5F11EEAB0E
