Направление,Куратор,ИД_Категории,Категория,ИД_Подкатегории,parrent_ID,Тип,период на принятие,Период на исполнение,Требуется акт
МКД,ГЖИ,39088,Многоквартирные дома,39089,3883,Неисправность систем наружного/внутреннего водоотвода,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39090,3883,Протечки с кровли (системы водостока),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39091,3883,Неисправность кровельного покрытия,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39092,3883,Не прогревается (не полностью прогревается) прибор отопления,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39093,3883,Наледь и сосульки на кровле ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39094,3883,"Неисправность выступающих конструкций: балконов,козырьков, эркеров, карнизов  входных  крылец и т. п.",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39095,3883,"Неисправность герметизации межпанельных швов, стыков стеновых панелей",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39096,3883,Повреждение наружных стен МКД ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39097,3883,"Несанкционированные надписи, рисунки, реклама на фасаде МКД",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39098,3883,"Нарушение окрасочного слоя стен, облицовки фасада (цоколя)",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39099,3883,"Повреждение, отсутствие или проседание отмостки",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39100,3883,Авария на  трубопроводе ц/о (в т.ч.течь стояков системы отопления ),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39101,3883,Отсутствие отопления,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39102,3883,Ненадлежащее качество коммунальной услуги по отоплению   (холодно/жарко в квартире),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39103,3883,Низкая температура в подъезде ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39104,3883,Отсутствие горячей воды,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39105,3883,Ненадлежащее качество коммунальной услуги по горячему водоснабжению низкая/высокая температура горячей воды в квартире   ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39106,3883,Низкое/высокое давление (напор) горячей воды,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39107,3883,"Течь стояков системы ГВС  трубопроводов, отсутствие теплоизоляции",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39108,3883,Отсутствие холодной воды,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39109,3883,Низкое/высокое давление (напор) холодной воды,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39110,3883,Ненадлежащее состояние трубопроводов и стояков системы холодного водоснабжения,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39111,3883,Отсутствие электроснабжения квартиры,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39112,3883,Неисправность электрооборудования в местах общего пользования ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39113,3883,Засор  в общедомовой  системе водоотведения (канализации),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39114,3883,Течь (негерметичность) системы водоотведения (канализации),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39115,3883,Неисправности лифтового оборудования ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39116,3883,Отключен лифт,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39117,3883,Неисправности конструкций  мусоропровода,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39118,3883,Засор мусоропровода,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39119,3883,Неудовлетворительное санитарное состояние мусорокамеры,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39120,3883,"Нарушено окрасочное покрытие стен, потолков подъездов",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39121,3883,Неисправности дверей  в местах общего пользования,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39122,3883,Неисправности оконных рам (в т.ч. нарушение целостности остекления),24,72,1
