id,guid,name,gzhi_code,gzhi_code_type,gzhi_name
22,4B834E19-6429-456E-9028-6D006BDCDA41,03.01. Прорыв газового трубопровода,99001,99,
24,CE05715B-EF73-4C81-9CD3-FF5AEAB7E8E7,03.03. Запах газа в подъезде или у подъезда,7028,7,
27,F3C9CE39-1302-418E-BE6F-6C4BAAF10A63,03.06. Запах газа в квартире или у квартиры,7028,7,
34,D8530D9A-6D63-47C4-BA79-D0B9D7B43CD2,"03.13. Прочистка,калибровка сопла горелки плиты",7012,7,
36,820E92F7-441E-4C9B-BC67-443A7124C39F,03.15. Подключение газовой колонки к газопроводу без доп.работ,7020,7,
37,9A6C1256-B2A4-40A1-9FAD-5F54D97FE8D1,03.16. Замена газовой колонки без изменения проводки с пуском газа и устройством дымоудаления,7021,7,
38,CD193DC5-9C4F-4DA1-AFBA-2842CB181E2B,"03.17. Замена газовой колонки с новой подводкой водопровода,газопровода,пуском газа и устройством дымоудаления",7022,7,
39,F477B7F1-5B27-40DE-BEBE-847F80959585,"03.18. Снятие,установка теплообменника колонки",7014,7,
43,D766ECEB-BB83-4EC4-92F8-3DFD7C262839,03.22. замена газового крана на опуске,7027,7,
44,78AFC320-4D15-4218-BF33-AFA454233E00,03.23. Диагностика и обследование газового оборудования,7028,7,
48,945CF4C4-B6AD-4E84-A5AF-CF49983EDF15,04.03. Не работает предподъездное освещение,3023,3,
50,798C01AF-F447-4392-8823-EC4143B41743,04.05. Отсутствует остекление в подъезде/разбитые окна ( летний период),3018,3,
51,397833B7-EF30-43BB-A6DB-22B6A5C131AF,04.06. Отсутствует остекление в подъезде/разбитые окна(зимний период),3019,3,
52,F7F82AE4-37AC-4B47-AED1-A707F682A227,04.07. Неисправный мусоропровод,6001,6,
53,E9898BF6-2EC2-4C93-B8FA-873349CD582A,04.08. Отсутствуют замки на входных дверях в подвалах/мусорокамеры,3025,3,
54,1B1A45A5-37C2-4F3A-9975-135AD02529B5,04.09. Неисправность/недоступность инфраструктуры для маломобильных граждан(установка/ремонт пандусов),3005,3,
56,D9104F38-7221-4E23-BA77-82C80233972B,04.11. Домофон.,99001,99,
58,ADBB0788-68D0-4410-AB49-AD510C75C898,05.02. Ремонт/замена почтовых ящиков в подъезде,3015,3,
60,4D457A07-23DC-4599-A8F8-66709F5F156E,"05.04. Ремонт перил,поручней",3004,3,
63,06EE7BEC-F138-4B3C-A2A1-24A29C8FADCD,05.07. Некачественный текущий ремонт,30005,30,
65,F669CC19-DD92-4F8C-9BB5-D9A55DED8338,06.02. Замена смесителя 'Елочка',19002,19,
68,3F310A3C-290B-49FA-8FEC-ECBF538A9008,06.05. Замена унитаза 'Компакт',19005,19,
76,24C7F3E4-C589-4AE1-B033-8ECA92EE8749,06.13. Смена трубопроводов холодного водоснабжения на трубы металлопласта,19013,19,
78,E8E7CC90-7205-4F1B-8697-87397DFB6A52,06.15. Смена трубопроводов отопления / ГВС стальных труб на полипропиленовые трубы,19015,19,
79,4352C4D0-5320-47AF-87DA-01A37186BD7C,06.16. Смена трубопроводов отопления / ГВС стальных труб на электросварные трубы,19016,19,
82,BAEC04A4-B055-4129-BDE6-9F08345D8C14,06.19. Смена отдельных участков внутренних чугунных канализационных выпусков. Диаметр канализационного выпуска до 50мм,19019,19,
83,1CC08BFA-8A7F-41D3-A291-1B63DB377240,06.20. Смена отдельных участков внутренних чугунных канализационных выпусков. Диаметр выпуска до 76-100мм,19020,19,
87,1EB0FE4B-27C5-4A7E-9AA6-6DB5CF7AA34E,06.24. Ремонт смывных бачков типа 'Компакт',19024,19,
91,2DD92067-72F2-4195-B2F9-C86B0FB0B103,"06.28. Смена выключателя,переключателя,штепсельной розетки скрытой проводки",19028,19,
96,,Проведение технических условий,19032,19,
