id,provider_id,name,vendor_id
96,1,Проведение технических условий,
399,1,011. Горячее водоснабжение,3;5
400,1,002. Лифт,3;5
401,1,001. Холодное водоснабжение,3;5
402,1,003. Газовые сети,3;5
403,1,004. Техническое обслуживание,3;5
404,1,005. Текущий ремонт,3;5
405,1,006. Платные услуги,3;5
406,1,007. Санитарное состояние/содержание,3;5
407,1,008. Отопление,3;5
408,1,"009. Вентканалы, дымоходы",3;5
409,1,010. Канализация,3;5
410,1,019. Благоустройство дворовой территории,3;5
411,1,013. Кровля,3;5
412,1,012. Электрические сети,3;5
413,1,014. Фасад,3;5
414,1,015. Стены,3;5
415,1,016. Фундамент,3;5
416,1,017. Нарушения,3;5
417,1,018. Составление акта осмотра жилого помещения по залитию,3;5
418,1,020. Иное,3;5
419,1,021. Благоустройство и содержание городских территорий,3;5
420,7,01. Подключение,
421,7,02. Ремонт,
422,7,03. Аксессуары,
518,5,Проведение технических условий,3;5
694,5,Демо,3;5
697,5,11. Горячее водоснабжение,3;5
698,5,02. Лифт,3;5
699,5,01. Холодное водоснабжение,3;5
700,5,03. Газовые сети,3;5
701,5,04. Техническое обслуживание,3;5
702,5,05. Текущий ремонт,3;5
703,5,06. Платные услуги,3;5
704,5,07. Санитарное состояние/содержание,3;5
705,5,08. Отопление,3;5
706,5,"09. Вентканалы, дымоходы",3;5
707,5,10. Канализация,3;5
708,5,19. Благоустройство дворовой территории,3;5
709,5,13. Кровля,3;5
710,5,12. Электрические сети,3;5
711,5,14. Фасад,3;5
712,5,15. Стены,3;5
713,5,16. Фундамент,3;5
714,5,17. Нарушения,3;5
715,5,18. Составление акта осмотра жилого помещения по залитию,3;5
716,5,20. Иное,3;5
717,5,21. Благоустройство и содержание городских территорий,3;5
1101,1,099. Классификатор ГЖИ ( ЕДС.Мосрег ),
1291,9,11. Горячее водоснабжение,3;5
1302,9,02. Лифт,3;5
1313,9,01. Холодное водоснабжение,3;5
1332,9,03. Газовые сети,3;5
1357,9,04. Техническое обслуживание,3;5
1382,9,05. Текущий ремонт,3;5
1390,9,06. Платные услуги,3;5
1447,9,07. Санитарное состояние/содержание,3;5
1455,9,08. Отопление,3;5
1470,9,"09. Вентканалы, дымоходы",3;5
1474,9,10. Канализация,3;5
1486,9,19. Благоустройство дворовой территории,3;5
1512,9,13. Кровля,3;5
1517,9,12. Электрические сети,3;5
1530,9,14. Фасад,3;5
1538,9,15. Стены,3;5
1542,9,16. Фундамент,3;5
1546,9,17. Нарушения,3;5
1553,9,18. Составление акта осмотра жилого помещения,3;5
1555,9,20. Иное,3;5
1562,9,21. Благоустройство и содержание городских территорий,3;5
1587,9,99. Классификатор ГЖИ ( мосрег ),3;5
1778,9,88. Горячая линия,3;5
2270,8,Белый Берег_1,
2271,1,500. Горячая линия,3
2278,1,71. Классификатор ЕЦУР (Жуковский),
3027,1,565. Охранные зоны (Минэнерго Жуковский МЦУР),6
3028,1,566. Многоквартирный дом ( ГЖИ Жуковский МЦУР),6
3029,1,567. Раскрытие информации о деятельности по управлению многоквартирными домами (ГЖИ Жуковский МЦУР),6
3030,1,568. Оплата за ЖКУ (ГЖИ Жуковский МЦУР),6
3031,1,569. Средство размещения информации (ГАТН Жуковский МЦУР),6
3032,1,570. Железнодорожный транспорт (МТДИ Жуковский МЦУР),6
3033,1,571. Разъяснение законодательства (благоустройство/закон о тишине) (ГАТН Жуковский МЦУР),6
3034,1,"572. Надземные части линейного сооружения, коммуникаций (ГАТН Жуковский МЦУР)",6
3035,1,573. Управляющая организация (МинЖКХ Жуковский МЦУР),6
3036,1,574. Энергосбережение (Минэнерго Жуковский МЦУР),6
3037,1,575. Администрация района/округа (Минэнерго Жуковский МЦУР),6
3038,1,"576. Детская, игровая, спортивная площадка (ГАТН Жуковский МЦУР)",6
3039,1,577. Автомобильные дороги (МТДИ Жуковский МЦУР),6
3040,1,578. Капитальный ремонт многоквартирного дома (ГЖИ Жуковский МЦУР),6
3041,1,579. Наружное освещение (ГАТН Жуковский МЦУР),6
3042,1,580. Топливозаправочные комплексы (Минэнерго Жуковский МЦУР),6
3043,1,581. Администрация. Общие вопросы (Минздрав Жуковский МЦУР),6
3044,1,582. Школа (Минобр Жуковский МЦУР),6
3045,1,583. Содержание жилищного фонда (Минжкх Жуковский МЦУР),6
3046,1,584. Твердые коммунальные отходы (Минжкх Жуковский МЦУР),6
3047,1,"585. Газон, зеленые насаждения на землях территорий общего пользования (ГАТН  Жуковский МЦУР)",6
3048,1,586. Лицензирование (Минздрав Жуковский МЦУР),6
3049,1,587. Работа перевозчиков  автомобильного и наземного электрического транспорта (МТДИ Жуковский МЦУР),6
3050,1,588. Иные виды транспорта (МТДИ Жуковский МЦУР),6
3051,1,589. Плата за ЖКУ (МинЖКХ Жуковский МЦУР),6
3052,1,590. Электронный медицинский сервис (Минздрав Жуковский МЦУР),6
3053,1,591. Лекарственный препарат (Минздрав Жуковский МЦУР),6
3054,1,592. Медицинская помощь (Минздрав Жуковский МЦУР),6
3055,1,593. ЕИРЦ (Минжкх Жуковский МЦУР),6
3056,1,594. Инженерная инфраструктура (Минжкх Жуковский МЦУР),6
3057,1,595. Капитальный ремонт многоквартирного дома (Минжкх Жуковский МЦУР),6
3058,1,"596. Водоснабжение, водоотведение (Минэнерго Жуковский МЦУР)",6
3059,1,"597. Тротуар, внутриквартальный проезд, полоса отвода дороги (ГАТН Жуковский МЦУР)",6
3060,1,598. Медицинское учреждение (Минздрав Жуковский МЦУР),6
3061,1,599. Парковки (МТДИ Жуковский МЦУР),6
3062,1,600. Легковое такси (МТДИ Жуковский МЦУР),6
3063,1,601. Медицинский персонал (Минздрав Жуковский МЦУР),6
3064,1,602. Муниципальное образование (Минобр Жуковский МЦУР),6
3065,1,603. Детский сад (Минобр Жуковский МЦУР),6
3066,1,604. Учреждения дополнительного образования (Минобр Жуковский МЦУР),6
3067,1,605. Безопасность на дорогах (МТДИ Жуковский МЦУР),6
3077,1,606. Охранные зоны (Минэнерго Раменское),6
3078,1,607. Многоквартирный дом (ГЖИ Раменское),6
3079,1,608. Раскрытие информации о деятельности по управлению многоквартирными домами (ГЖИ Раменское),6
3080,1,609. Оплата за ЖКУ (ГЖИ Раменское),6
3081,1,610. Средство размещения информации (ГАТН Раменское),6
3082,1,611. Железнодорожный транспорт (МТДИ Раменское),6
3083,1,612. Разъяснение законодательства (благоустройство/закон о тишине) (ГАТН Раменское),6
3084,1,"613. Надземные части линейного сооружения, коммуникаций (ГАТН Раменское)",6
3085,1,614. Управляющая организация (МинЖКХ Раменское),6
3086,1,615. Энергосбережение (Минэнерго Раменское),6
3087,1,616. Администрация района/округа (Минэнерго Раменское),6
3088,1,"617. Детская, игровая, спортивная площадка (ГАТН Раменское)",6
3089,1,618. Автомобильные дороги (МТДИ Раменское),6
3090,1,619. Капитальный ремонт многоквартирного дома (ГЖИ Раменское),6
3091,1,620. Наружное освещение (ГАТН Раменское),6
3092,1,621. Топливозаправочные комплексы (Минэнерго Раменское),6
3093,1,622. Администрация. Общие вопросы (Минздрав Раменское),6
3094,1,623. Школа (Минобр Раменское),6
3095,1,624. Содержание жилищного фонда (Минжкх Раменское),6
3096,1,625. Твердые коммунальные отходы (Минжкх Раменское),6
3097,1,"626. Газон, зеленые насаждения на землях территорий общего пользования (ГАТН  Раменское)",6
3098,1,627. Лицензирование (Минздрав Раменское),6
3099,1,628. Работа перевозчиков  автомобильного и наземного электрического транспорта (МТДИ Раменское),6
3100,1,629. Иные виды транспорта (МТДИ Раменское),6
3101,1,630. Плата за ЖКУ (МинЖКХ Раменское),6
3102,1,631. Электронный медицинский сервис (Минздрав Раменское),6
3103,1,632. Лекарственный препарат (Минздрав Раменское),6
3104,1,633. Медицинская помощь (Минздрав Раменское),6
3105,1,634. ЕИРЦ (Минжкх Раменское),6
3106,1,635. Инженерная инфраструктура (Минжкх Раменское),6
3107,1,636. Капитальный ремонт многоквартирного дома (Минжкх Раменское),6
3108,1,"637. Водоснабжение, водоотведение (Минэнерго Раменское)",6
3109,1,"638. Тротуар, внутриквартальный проезд, полоса отвода дороги (ГАТН Раменское)",6
3110,1,639. Медицинское учреждение (Минздрав Раменское),6
3111,1,640. Парковки (МТДИ Раменское),6
3112,1,641. Легковое такси (МТДИ Раменское),6
3113,1,642. Медицинский персонал (Минздрав Раменское),6
3114,1,643. Муниципальное образование (Минобр Раменское),6
3115,1,644. Детский сад (Минобр Раменское),6
3116,1,645. Учреждения дополнительного образования (Минобр Раменское),6
3117,1,646. Безопасность на дорогах (МТДИ Раменское),6
3883,1,440. Добродел - Многоквартирные дома,2
4003,1,466. Добродел - Водоснабжение в многоквартирных домах,2
4004,1,441. Добродел - Автомобильные дороги,2
4005,1,442. Добродел - Архитектура,2
4006,1,443. Добродел - Безопасность,2
4007,1,"444. Добродел - Благоустройство дворовой территории МКД, детские площадки.",2
4008,1,445. Добродел - Благоустройство общественного пространства,2
4009,1,"446. Добродел - Водоснабжение, водоотведение",2
4010,1,447. Добродел - Газоснабжение,2
4011,1,448. Добродел - Дворы и территории общего пользования,2
4012,1,449. Добродел - Капитальный ремонт общего имущества МКД,2
4013,1,450. Добродел - Медицина,2
4014,1,451. Добродел - Наружное освещение,2
4015,1,452. Добродел - Образование,2
4016,1,453. Добродел - Обращение с отходами,2
4017,1,454. Добродел - Общественный транспорт,2
4018,1,455. Добродел - Плата за ЖКУ и работа ЕИРЦ,2
4019,1,456. Добродел - Региональный оператор по обращению с отходами,2
4020,1,457. Добродел - Связь и телевидение,2
4021,1,458. Добродел - Социальное обслуживание и защита,2
4022,1,459. Добродел - Строительство,2
4023,1,460. Добродел - Теплоснабжение,2
4024,1,461. Добродел - Торговля,2
4025,1,462. Добродел - Управляющие компании,2
4026,1,463. Добродел - Учреждения культуры,2
4027,1,464. Добродел - Физическая культура и спорт,2
4028,1,465. Добродел - Электроснабжение,2
4031,1,467. Добродел - Ветеринария,2
4032,1,468. Добродел - Лесное хозяйство,2
4033,1,"469. Добродел - МФЦ ""Мои документы""",2
4034,1,470. Добродел - областное имущество,2
4035,1,471. Добродел - Охранные зоны,2
4036,1,472. Добродел - Общественное питание,2
4037,1,473. Добродел - Памятники и объекты культурного наследия,2
4038,1,474. Добродел - Парки культуры и отдыха,2
4039,1,475. Добродел - Погребение и похоронное дело,2
4040,1,476. Добродел - портал услуг Московской области (mosreg.ru),2
4041,1,477. Добродел - предприятия бытового обслуживания,2
4042,1,"478. Добродел - Природа, Экология",2
4043,1,479. Добродел - проблемы долевого строительства,2
4044,1,480. Добродел - Сельское хозяйство и охота,2
4045,1,481. Добродел - Социальное обслуживание и защита,2
4046,1,482. Добродел - Топливозаправочные комплексы,2
